"f","zmean","zsd","phimean","phisd"
15200,56.3023561402554,1.53556033004634,0.551770685584144,1.53556033004634
15360,56.7323985160566,1.50141302836909,0.57351634410332,1.50141302836909
15520,57.3600373627066,1.46931781777313,0.585311412744587,1.46931781777313
15680,57.8821722376569,1.44429564867352,0.603187014830446,1.44429564867352
15840,58.5290880892431,1.42061116754541,0.613893769095319,1.42061116754541
16000,59.226158340476,1.40520561206767,0.628501134202803,1.40520561206767
16160,59.7656561664046,1.38655161305341,0.639082288879737,1.38655161305341
16320,60.1829161472712,1.37135254056591,0.656737708343136,1.37135254056591
16480,60.5677980368686,1.35303512790658,0.670611017639119,1.35303512790658
16640,61.6844175881581,1.35298383285239,0.683936528550503,1.35298383285239
16800,62.2763983357906,1.34657279520225,0.700607132772053,1.34657279520225
16960,62.8346470812192,1.34174382590047,0.713370874079498,1.34174382590047
17120,63.6463718406595,1.34995780573158,0.718358430816582,1.34995780573158
17280,63.8755090849012,1.34364660025164,0.737492085337688,1.34364660025164
17440,64.7169419216272,1.35367103686829,0.751236745028873,1.35367103686829
17600,65.522590837124,1.35945657367421,0.765562628244647,1.35945657367421
17760,66.06631436229,1.36320321732971,0.777674136865038,1.36320321732971
17920,67.1876890178347,1.38110925932848,0.787724828288543,1.38110925932848
18080,67.6677445015637,1.38541453166319,0.798320960659984,1.38541453166319
18240,68.1825346407451,1.39277908430438,0.807652388082928,1.39277908430438
18400,68.5961895928601,1.40135285305499,0.824031128348823,1.40135285305499
18560,69.3201035165408,1.4081144808015,0.835907743583442,1.4081144808015
18720,70.2869041802643,1.423608688946,0.847303428285662,1.423608688946
18880,70.8839752450474,1.43023341481949,0.856822871720358,1.43023341481949
19040,71.9910360046688,1.44672751016766,0.862865903955409,1.44672751016766
19200,72.4037417304554,1.45770451552258,0.875318769576274,1.45770451552258
19360,72.9267068284805,1.47564022962499,0.883389433059743,1.47564022962499
19520,73.3701598395054,1.48873509768938,0.891520567789274,1.48873509768938
19680,73.8462282168095,1.50167246388038,0.906933937804538,1.50167246388038
19840,74.4418519438798,1.51224298865584,0.919093249062102,1.51224298865584
